idfiltro,Codusu,verfiltro,orden
2403,0,0,79
2404,0,0,80
2405,0,0,41
2406,0,0,42
2407,0,0,43
2408,0,0,44
2409,0,0,85
2410,0,0,86
2411,0,0,87
2412,0,0,88
2413,0,0,45
2414,0,0,46
2415,0,0,91
2416,0,0,92
2417,0,0,93
2418,0,0,94
2419,0,0,95
2420,0,0,96
2421,0,0,97
2422,0,0,98
2423,0,0,99
2424,0,0,100
2425,0,0,101
2426,0,0,102
2427,0,0,103
2428,0,0,104
2429,0,0,105
2430,0,0,106
2431,0,0,107
2432,0,0,108
2433,0,0,109
2434,0,0,110
2435,0,0,111
2436,0,0,112
2437,0,0,113
2438,0,0,114
2439,0,0,115
2440,0,0,116
2441,0,0,117
2442,0,0,118
2443,0,0,30
2445,0,0,21
2446,0,0,122
2447,0,0,15
2448,0,0,16
2449,0,0,17
2450,0,0,23
2451,0,0,39
2452,0,0,36
2453,0,0,10
2455,0,0,33
2501,0,0,50
2502,0,0,51
2503,0,0,52
2504,0,0,53
2505,0,0,54
2506,0,0,55
2507,0,0,56
2508,0,0,57
2509,0,0,58
2510,0,0,59
2511,0,0,60
2512,0,0,61
2513,0,0,62
2514,0,0,63
2515,0,0,64
2561,0,0,84
2562,0,0,18
2563,0,0,19
2564,0,0,58
2568,0,0,38
2569,0,1,0
2570,0,1,1
2571,0,1,4
2572,0,1,3
2573,0,1,5
2574,0,1,6
2575,0,1,2
2576,0,1,7
2577,0,0,39
2578,0,0,40
2579,0,0,69
2580,0,0,51
2581,0,0,74
2582,0,0,71
2583,0,0,72
2584,0,0,77
2585,0,0,78
2586,0,0,70
2587,0,0,75
2588,0,0,73
2589,0,0,76
2590,0,0,52
2591,0,0,57
2592,0,0,58
2593,0,0,51
2594,0,0,52
2595,0,0,53
2596,0,0,59
2597,0,0,60
2598,0,0,61
2599,0,0,62
2600,0,0,63
2601,0,0,64
2602,0,0,65
2603,0,0,66
2604,0,0,67
2605,0,0,68
2606,0,0,64
2607,0,0,65
2608,0,0,66
2609,0,0,67
2610,0,0,68
2611,0,0,69
2612,0,0,70
2613,0,0,71
2614,0,0,72
2615,0,0,73
2616,0,0,53
2617,0,0,54
2618,0,0,55
2619,0,0,56
2620,0,0,78
2621,0,0,79
2622,0,0,80
2623,0,0,81
2624,0,0,41
2625,0,0,42
2626,0,0,43
2627,0,0,44
2628,0,0,45
2629,0,0,46
2630,0,0,47
2631,0,0,48
2632,0,0,49
2633,0,0,50
2634,0,0,92
2635,0,0,93
2636,0,0,94
2637,0,0,95
2638,0,0,96
2639,0,0,97
2640,0,0,98
2641,0,0,99
2642,0,0,100
2643,0,0,101
2677,0,0,59
2679,0,0,22
2684,0,0,142
2685,0,0,143
2686,0,0,144
2687,0,0,145
2688,0,0,146
2689,0,0,147
2690,0,0,148
2691,0,0,149
2692,0,0,150
2709,0,0,101
2710,0,0,101
2711,0,0,101
2713,0,1,3
2717,0,0,60
2727,0,0,80
2735,0,0,55
2740,0,0,7
2741,0,0,11
2742,0,0,6
2743,0,0,14
2744,0,0,17
2746,0,0,8
2747,0,0,4
2748,0,0,8
2780,0,0,25
2781,0,0,17
2782,0,0,21
2783,0,0,35
2784,0,0,33
2785,0,0,12
2786,0,0,34
2787,0,0,24
2790,0,0,14
2791,0,0,21
2792,0,0,46
2793,0,0,41
2794,0,0,25
2795,0,0,24
2796,0,0,23
2800,0,0,28
2801,0,0,20
2802,0,0,36
2803,0,0,12
2804,0,0,20
2805,0,0,22
2806,0,0,19
3008,0,0,19
3074,0,0,14
3075,0,1,3
3152,0,0,17
3153,0,0,15
3154,0,1,5
3156,0,0,11
3160,0,0,12
3164,0,0,19
3165,0,0,95
