idcolumna,idgrupo,nombre,texto,campo,tipo,orden,imagenes,usarEtiquetasIni,tabla,desglosable,actualizable,campoVisualizacion,anchoPropio,tablaorigen,parteSql,parteSqlIdgestorbasedatos,parteSqlResto,verColumnaDefecto,visibleDashboard,disponible
3796,78,perso78,etiotrodatosperso78|3,perso78,0,76,,4,,0,0,tipoficherocli:3:bverotrosdatosperso78,100,,,,,0,False,True
3797,78,perso79,etiotrodatosperso79|3,perso79,0,77,,4,,0,0,tipoficherocli:3:bverotrosdatosperso79,100,,,,,0,False,True
3798,78,campo11,etiotrodatoscampo11|3,campo11,0,78,,4,,0,0,tipoficherocli:3:bverotrosdatoscampo11,100,,,,,0,False,True
3799,78,campo12,etiotrodatoscampo12|3,campo12,0,79,,4,,0,0,tipoficherocli:3:bverotrosdatoscampo12,100,,,,,0,False,True
3800,78,campo13,etiotrodatoscampo13|3,campo13,0,80,,4,,0,0,tipoficherocli:3:bverotrosdatoscampo13,100,,,,,0,False,True
3801,78,campo14,etiotrodatoscampo14|3,campo14,0,81,,4,,0,0,tipoficherocli:3:bverotrosdatoscampo14,100,,,,,0,False,True
3802,78,campo15,etiotrodatoscampo15|3,campo15,0,82,,4,,0,0,tipoficherocli:3:bverotrosdatoscampo15,100,,,,,0,False,True
3803,78,campo16,etiotrodatoscampo16|3,campo16,0,83,,4,,0,0,tipoficherocli:3:bverotrosdatoscampo16,100,,,,,0,False,True
3804,78,campo17,etiotrodatoscampo17|3,campo17,0,84,,4,,0,0,tipoficherocli:3:bverotrosdatoscampo17,100,,,,,0,False,True
3805,78,campo18,etiotrodatoscampo18|3,campo18,0,85,,4,,0,0,tipoficherocli:3:bverotrosdatoscampo18,100,,,,,0,False,True
3806,78,campofecha5,etiotrodatoscampofecha5|3,campofecha5,6,86,,4,,0,0,tipoficherocli:3:bverotrosdatoscampofecha5,100,,,,,0,False,True
3807,78,campofecha6,etiotrodatoscampofecha6|3,campofecha6,6,87,,4,,0,0,tipoficherocli:3:bverotrosdatoscampofecha6,100,,,,,0,False,True
3808,78,campofecha7,etiotrodatoscampofecha7|3,campofecha7,6,88,,4,,0,0,tipoficherocli:3:bverotrosdatoscampofecha7,100,,,,,0,False,True
3809,78,campofecha8,etiotrodatoscampofecha8|3,campofecha8,6,89,,4,,0,0,tipoficherocli:3:bverotrosdatoscampofecha8,100,,,,,0,False,True
3810,78,persofecha6,etiotrodatospersofecha6|3,persofecha6,6,90,,4,,0,0,tipoficherocli:3:bverotrosdatospersofecha6,100,,,,,0,False,True
3811,78,persofecha7,etiotrodatospersofecha7|3,persofecha7,6,91,,4,,0,0,tipoficherocli:3:bverotrosdatospersofecha7,100,,,,,0,False,True
3812,78,persofecha8,etiotrodatospersofecha8|3,persofecha8,6,92,,4,,0,0,tipoficherocli:3:bverotrosdatospersofecha8,100,,,,,0,False,True
3813,78,persofecha9,etiotrodatospersofecha9|3,persofecha9,6,93,,4,,0,0,tipoficherocli:3:bverotrosdatospersofecha9,100,,,,,0,False,True
3814,78,edad,Edad,edad,0,94,,0,,0,0,!VerEdadDesglosada[AND]tipoficherocli:3:bverotrosdatosedad,100,,(select CASE WHEN c.fechanacimiento IS NOT NULL and c.fechanacimiento < GETDATE() then c.edad else null end) as edad,,,0,False,True
3815,78,terceroPrincipal,Contacto,snombretercero,0,95,,1,,0,0,tipoficherocli:1:bverpestercerocli,150,,CT.snombrecli as snombretercero,,,0,False,True
3816,78,nacionalidad,Nacionalidad,nacionalidad,0,96,,0,,0,0,bvernacionalidadotros,100,,C.nacionalidad,,,0,False,True
3817,78,Act. Canceladas,Act. Canceladas,numCanceladas,16,161,,0,,0,0,bVerHistorialCancelacion,100,,,,,0,False,True
3818,78,Act. Cancelas. Con Aviso,Act. Cancelas. Con Aviso,numCancelConAviso,16,162,,0,,0,0,bVerHistorialCancelacion,100,,,,,0,False,True
3819,78,Act. Cancelas. Sin Aviso,Act. Cancelas. Sin Aviso,numCancelSinAviso,0,163,,0,,0,0,bVerHistorialCancelacion,100,,,,,0,False,True
3820,78,Act. Canceladas. Aplazadas,Act. Canceladas. Aplazadas,numCancelAplazada,16,164,,0,,0,0,bVerHistorialCancelacion,100,,,,,0,False,True
3821,78,% de Cancelación,% de Cancelación,porcentajeCanceladas,15,165,,0,,0,0,bVerHistorialCancelacion,100,,,,,0,False,True
3822,78,Act. Totales,Act. Totales,numTotalActuaciones,16,166,,0,,0,0,,100,,,,,0,False,True
3823,78,Total Cobrado Exp,Tot. Cobrado Exp,totalCobradoExp,8,168,,0,,0,0,bVerFacturacion[AND]bcuenotros[AND]!bOcultarIndicadoresEconom,100,,,,,0,False,True
3826,78,Total Coste Exp,Tot. Coste Exp,totalCosteExp,8,171,,0,,0,0,bVerFacturacion[AND]bcuenotros[AND]!bOcultarIndicadoresEconom,100,,,,,0,False,True
3827,78,Total Beneficio,Tot. Beneficio,totalBeneficio,8,172,,0,,0,0,,100,,,,,0,False,True
3828,78,%Beneficio,% Beneficio,porcentajeBeneficio,15,173,,0,,0,0,,100,,,,,0,False,True
3829,78,Obligaciones Pendientes,Obligaciones Pendientes,obligacionesPendientes,16,174,,0,,0,0,bobligotros,130,,,,,0,False,True
3830,78,Obligaciones Realizadas,Obligaciones Realizadas,obligacionesRealizadas,0,175,,0,,0,0,bobligotros,130,,,,,0,False,True
3831,78,fechaultimaactuacion,Fecha Última Actuación,fechaultimaactuacion,6,12,,0,,0,0,,150,,,,,1,False,True
3832,78,descripcionultimaactu,Descripción Última Act.,descripcionultimaactu,0,13,,0,,0,0,,250,,,,,1,False,True
