NumCta,Descripcion,Descripcion2,tipoPGC
5593000000,"Activos por derivados financieros a corto plazo, instrumentos de cobertura",,1
5595000000,"Pasivos por derivados financieros a corto plazo, cartera de negociación",Pasivos por derivados financieros a corto plazo,0
5598000000,"Pasivos por derivados financieros a corto plazo, instrumentos de cobertura",,1
560,Fianzas recibidas a corto plazo,,
5600000000,Fianzas recibidas a corto plazo,,2
561,Depósitos recibidos a corto plazo,,
5610000000,PROVISIONES/SUPLIDOS,,
565,Fianzas constituidas a corto plazo,,
5650000000,Fianzas constituidas a corto plazo,,2
566,Depósitos constituidos a corto plazo,,
5660000000,Dep?sitos constituidos a corto plazo,,2
567,Intereses pagados por anticipado,,
5670000000,Intereses pagados por anticipado,,2
568,Intereses cobrados por anticipado,,
5680000000,Intereses cobrados por anticipado,,2
569,Garantías financieras a corto plazo,,1
570,"Caja,euros",,
5700000000,CAJA,"Caja, euros",0
571,"Caja, moneda extranjera",,
5710000000,"Caja, moneda extranjera",,2
572,"Bancos e instituciones de crédito c/c vista, euros",,
5720000000,"Bancos e instituciones de cr?dito c/c vista, euros",,2
573,"Bancos e instituciones de crédito c/c vista, moneda extranjera",,
5730000000,"Bancos e instituciones de cr?dito c/c vista, moneda extranjera",,2
574,"Bancos e instituciones de crédito, cuentas de ahorro, euros",,
5740000000,"Bancos e instituciones de cr?dito, cuentas de ahorro, euros",,2
575,"Bancos e instituciones de crédito, cuentas de ahorro, moneda extranjera",,
5750000000,"Bancos e instituciones de cr?dito, cuentas de ahorro, moneda extranjera",,2
576,Inversiones a corto plazo de gran liquidez,,
5760000000,Inversiones a corto plazo de gran liquidez,,2
580,Inmovilizado,,1
581,Inversiones con personas y entidades vinculadas,,1
582,Inversiones financieras,,1
583,"Existencias, deudores comerciales y otras cuentas a cobrar",,1
584,Otros activos,,1
585,Provisiones,,1
586,Deudas con características especiales,,1
587,Deudas con personas y entidades vinculadas,,1
588,Acreedores comerciales y otras cuentas a pagar,,1
589,Otros pasivos,,1
593,Deterioro de valor de participaciones a corto plazo en partes vinculadas,,
5933000000,Deterioro de valor de participaciones a corto plazo en empresas del grupo,Deterioro de valor de participaciones a corto plazo en entidades del grupo,0
5934000000,Deterioro de valor de participaciones a corto plazo en empresas asociadas,Deterioro de valor de participaciones a corto plazo en entidades asociadas,0
5935000000,Deterioro de valor de participaciones a corto plazo en otras partes vinculadas,,2
594,Deterioro de valor de valores representativos de deuda a corto plazo de partes vinculadas,,
5943000000,Deterioro de valor de valores representativos de deuda a corto plazo de empresas del grupo,Deterioro de valor de valores representativos de deuda a corto plazo de entidades del grupo,0
5944000000,Deterioro de valor de valores representativos de deuda a corto plazo de empresas asociadas,Deterioro de valor de valores representativos de deuda a corto plazo de entidades asociadas,0
5945000000,Deterioro de valor de valores representativos de deuda a corto plazo de otras partes vinculadas,,
595,Deterioro de valor de créditos a corto plazo a partes vinculadas,,
5953000000,Deterioro de valor de créditos a corto plazo a empresas del grupo,Deterioro de valor de cr?ditos a corto plazo a entidades del grupo,0
