id,codope,aplicacion,equipo,tipo,fecha,versionSO
207,1,AppAngular,MNCLOUDIIS02,0,2024-08-26 10:01:14.227000,
208,1,AppAngular,MNCLOUDIIS02,0,2024-08-26 10:02:31.170000,
209,1,AppAngular,MNCLOUDIIS02,0,2024-08-26 10:14:02.710000,
210,1,AppAngular,MNCLOUDIIS02,0,2024-08-26 10:15:56.573000,
211,1,AppAngular,MNCLOUDIIS02,0,2024-08-26 10:16:37.390000,
212,1,AppAngular,MNCLOUDIIS02,0,2024-08-26 11:14:21.700000,
213,1,AppAngular,MNCLOUDIIS02,0,2024-08-26 11:16:09,
214,1,AppAngular,MNCLOUDIIS02,0,2024-08-26 11:25:44.093000,
215,1,AppAngular,MNCLOUDIIS02,0,2024-08-26 11:35:13.730000,
216,1,AppAngular,MNCLOUDIIS02,0,2024-08-26 14:56:46.407000,
217,1,AppAngular,MNCLOUDIIS02,0,2024-08-26 15:12:40.360000,
218,1,MNprogram,DESKTOP-D72E0H9,1,2024-08-26 15:56:59.473000,
219,1,AppAngular,MNCLOUDIIS02,0,2024-08-26 16:32:16.437000,
220,1,AppAngular,MNCLOUDIIS02,0,2024-08-26 16:32:17.233000,
221,1,MNprogram,DESKTOP-D72E0H9,0,2024-08-26 16:43:30.220000,
222,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-08-26 16:43:37.203000,
223,1,MNprogram,DESKTOP-D72E0H9,0,2024-08-26 16:45:31.167000,
224,1,AppAngular,MNCLOUDIIS02,0,2024-08-26 17:02:52.580000,
225,1,AppAngular,MNCLOUDIIS02,0,2024-08-26 17:04:01.210000,
226,1,AppAngular,MNCLOUDIIS02,0,2024-08-26 17:18:33.340000,
227,1,AppAngular,MNCLOUDIIS02,0,2024-08-26 17:18:39.310000,
228,1,AppAngular,MNCLOUDIIS02,0,2024-08-26 20:18:05.503000,
229,1,MNprogram,DESKTOP-D72E0H9,1,2024-08-26 20:26:57.783000,
230,1,AppAngular,MNCLOUDIIS02,0,2024-08-26 20:40:32.003000,
231,1,MNprogram,DESKTOP-D72E0H9,0,2024-08-27 08:02:34.790000,
232,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-08-27 08:02:43.263000,
233,1,AppAngular,MNCLOUDIIS02,0,2024-08-27 09:00:31.167000,
234,1,AppAngular,MNCLOUDIIS02,0,2024-08-27 09:01:58.210000,
235,1,AppAngular,MNCLOUDIIS02,0,2024-08-27 09:03:09.307000,
236,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-08-27 09:56:10.567000,
237,1,AppAngular,MNCLOUDIIS02,0,2024-08-27 10:44:44.433000,
238,1,MNprogram,DESKTOP-D72E0H9,1,2024-08-27 13:51:31.743000,
239,1,MNprogram,DESKTOP-D72E0H9,0,2024-08-27 13:54:15.880000,
240,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-08-27 13:54:22.477000,
241,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-08-27 14:20:48.647000,
242,1,MNprogram,DESKTOP-D72E0H9,1,2024-08-27 14:20:50.777000,
243,1,MNprogram,DESKTOP-D72E0H9,0,2024-08-27 14:24:35.753000,
244,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-08-27 14:24:41.900000,
245,1,AppAngular,MNCLOUDIIS02,0,2024-08-27 15:01:47.083000,
246,1,AppAngular,MNCLOUDIIS02,0,2024-08-27 15:02:18.803000,
247,1,AppAngular,MNCLOUDIIS02,0,2024-08-27 15:02:55.037000,
248,1,AppAngular,MNCLOUDIIS02,0,2024-08-27 16:40:14.863000,
249,1,AppAngular,MNCLOUDIIS02,0,2024-08-27 16:41:02.990000,
250,1,AppAngular,MNCLOUDIIS02,0,2024-08-27 16:46:13.587000,
251,1,AppAngular,MNCLOUDIIS02,0,2024-08-27 16:59:23.417000,
252,1,AppAngular,MNCLOUDIIS02,0,2024-08-27 17:13:07.557000,
253,1,AppAngular,MNCLOUDIIS02,0,2024-08-27 17:17:31.373000,
254,1,AppAngular,MNCLOUDIIS02,0,2024-08-27 20:23:27.813000,
255,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-08-27 20:28:52.353000,
256,1,MNprogram,DESKTOP-D72E0H9,1,2024-08-27 20:29:02.337000,
257,1,MNprogram,DESKTOP-D72E0H9,0,2024-08-27 20:35:27.473000,
258,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-08-27 20:35:35.030000,
259,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-08-27 20:49:28.427000,
260,1,MNprogram,DESKTOP-D72E0H9,1,2024-08-27 20:49:29.097000,
261,1,AppAngular,MNCLOUDIIS02,0,2024-08-28 09:11:47.117000,
262,1,AppAngular,MNCLOUDIIS02,0,2024-08-28 09:25:09.793000,
263,1,AppAngular,MNCLOUDIIS02,0,2024-08-28 09:40:26.477000,
264,1,AppAngular,MNCLOUDIIS02,0,2024-08-28 09:42:16.370000,
265,1,AppAngular,MNCLOUDIIS02,0,2024-08-28 09:46:26.280000,
266,1,AppAngular,MNCLOUDIIS02,0,2024-08-28 09:51:29.707000,
267,1,AppAngular,MNCLOUDIIS02,0,2024-08-28 09:51:33.393000,
268,1,AppAngular,MNCLOUDIIS02,0,2024-08-28 09:52:28.927000,
269,1,AppAngular,MNCLOUDIIS02,0,2024-08-28 09:52:45.207000,
270,1,AppAngular,MNCLOUDIIS02,0,2024-08-28 09:54:39.990000,
271,1,AppAngular,MNCLOUDIIS02,0,2024-08-28 09:54:46.320000,
272,1,AppAngular,MNCLOUDIIS02,0,2024-08-28 10:06:10.523000,
273,1,AppAngular,MNCLOUDIIS02,0,2024-08-28 14:05:18.330000,
274,1,AppAngular,MNCLOUDIIS02,0,2024-08-28 15:39:32.020000,
275,1,AppAngular,MNCLOUDIIS02,0,2024-08-28 15:40:07.383000,
276,1,AppAngular,MNCLOUDIIS02,0,2024-08-28 15:41:10.793000,
277,1,AppAngular,MNCLOUDIIS02,0,2024-08-28 15:41:28.420000,
278,1,AppAngular,MNCLOUDIIS02,0,2024-08-28 15:41:37.810000,
279,1,AppAngular,MNCLOUDIIS02,0,2024-08-28 15:41:56.233000,
280,1,AppAngular,MNCLOUDIIS02,0,2024-08-28 15:44:00.283000,
281,1,AppAngular,MNCLOUDIIS02,0,2024-08-28 15:46:04.127000,
282,1,AppAngular,MNCLOUDIIS02,0,2024-08-28 17:57:59.773000,
283,1,MNprogram,DESKTOP-D72E0H9,0,2024-08-28 19:34:55.117000,
284,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-08-28 19:35:03.763000,
285,1,AppAngular,MNCLOUDIIS02,0,2024-08-28 19:41:13.180000,
286,1,AppAngular,MNCLOUDIIS02,0,2024-08-28 21:56:24.723000,
287,1,AppAngular,MNCLOUDIIS02,0,2024-08-28 22:39:37.193000,
288,1,AppAngular,MNCLOUDIIS02,0,2024-08-28 22:40:28.663000,
289,1,AppAngular,MNCLOUDIIS02,0,2024-08-29 08:07:03.637000,
290,1,AppAngular,MNCLOUDIIS02,0,2024-08-29 08:41:51.103000,
291,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-08-29 08:44:18.887000,
292,1,MNprogram,DESKTOP-D72E0H9,1,2024-08-29 08:44:23.087000,
293,1,MNprogram,DESKTOP-D72E0H9,0,2024-08-29 09:13:15.123000,
294,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-08-29 09:13:22.240000,
