id,nombre,texto,accion,campoVisualizacion,usarEtiquetasIni,idPadre,esConfiguracion,icono,orden,campoPermiso,tipoAcceso
207,Nóminas - Rendimientos en Especie,Nóminas - Rendimientos en Especie,AbrirDelphi|41,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,202,0,,50,IrpfNominaPer,
208,Libros,Libros,,bVerContabilidad[AND]True[AND]!bvermenulibregistro,0,434,0,,341,,
209,Libros Declaraciones,Libros Declaraciones,,bVerContabilidad[AND]True[AND]!bvermenulibregistro,0,208,0,,236,,
210,Libro del IVA/IGIC (Fra. Emitidas/Fra Recibidas),Libro del IVA/IGIC (Fra. Emitidas/Fra Recibidas),AbrirDelphi|42,bVerContabilidad[AND]True[AND]!bvermenulibregistro,0,209,0,,239,LibroIvaPer,
211,Libros de Ingresos,Libros de Ingresos,AbrirTipoFichero|1091,bVerContabilidad[AND]True[AND]!bvermenulibregistro,0,209,0,,240,LibroIngresoPer,
212,Libro de Gastos,Libro de Gastos,AbrirDelphi|44,bVerContabilidad[AND]True[AND]!bvermenulibregistro,0,209,0,,241,LibroGastoPer,
213,Libro Bs. Inversión,Libro Bs. Inversión,AbrirDelphi|45,bVerContabilidad[AND]True[AND]!bvermenulibregistro,0,209,0,,242,LibroInversPer,
214,Libro Provisiones/Suplidos,Libro Provisiones/Suplidos,AbrirTipoFichero|1088,bVerContabilidad[AND]True[AND]!bvermenulibregistro,0,209,0,,243,LibProvisPer,
215,I.V.A.,I.V.A.,,bVerContabilidad[AND]True[AND]!bvermenulibregistro,0,208,0,,237,,
216,Liquidación IVA Mód. 303,Liquidación IVA Mód. 303,AbrirDelphi|47,bVerContabilidad[AND]True[AND]!bvermenulibregistro,0,215,0,,244,LiqIvaPer,
217,Declaración Mód. 347,Declaración Mód. 347,AbrirDelphi|48,bVerContabilidad[AND]True[AND]!bvermenulibregistro,0,215,0,,245,Mod347Per,
218,I.R.P.F.,I.R.P.F.,,bVerContabilidad[AND]True[AND]!bvermenulibregistro,0,208,0,,238,,
