id,id_linedcto,id_tabla,id_field,indice,numero,itabla,seccion
12463,146,18,70,75,3,,
12464,146,18,70,76,4,,
12465,146,18,70,77,5,,
12466,146,1,1,78,,,
12585,150,1,1,1,,,
12586,150,1,2,2,,,
12587,150,1,3,3,,,
12588,150,1,4,4,,,
12589,150,1,5,5,,,
12590,150,1,6,6,,,
12591,150,1,7,7,,,
12592,150,1,8,8,,,
12593,150,1,4,9,,,
12594,150,1,274,10,,,
12595,150,4,34,11,,,
12596,150,4,72,12,,,
12597,150,4,73,13,,,
12598,150,4,74,14,,,
12599,150,4,75,15,,,
12600,150,4,76,16,,,
12601,150,4,77,17,,,
12602,150,4,20,18,,,
12603,150,4,79,19,,,
12604,150,4,78,20,,,
12605,150,4,17,21,,,
12606,150,4,18,22,,,
12607,150,4,80,23,,,
12608,150,37,91,24,,,
12609,150,4,81,25,,,
12610,150,68,40,26,,3,
12611,150,68,249,27,,3,
12612,150,68,250,28,,3,
12613,150,68,251,29,,3,
12614,150,1,1,30,,,
12615,147,1,1,1,,,
12616,147,1,2,2,,,
12617,147,1,3,3,,,
12618,147,1,4,4,,,
12619,147,1,5,5,,,
12620,147,1,6,6,,,
12621,147,1,7,7,,,
12622,147,1,8,8,,,
12623,147,1,4,9,,,
12624,147,1,274,10,,,
12625,147,4,34,11,,,
12626,147,4,72,12,,,
12627,147,4,73,13,,,
12628,147,4,74,14,,,
12629,147,4,75,15,,,
12630,147,4,76,16,,,
12631,147,4,77,17,,,
12632,147,4,20,18,,,
12633,147,4,79,19,,,
12634,147,4,78,20,,,
12635,147,4,17,21,,,
12636,147,4,18,22,,,
12637,147,4,35,23,1,,
12638,147,4,36,24,1,,
12639,147,4,37,25,1,,
12640,147,4,38,26,1,,
12641,147,5,39,27,1,,
12642,147,5,40,28,1,,
12643,147,6,41,29,1,,
12644,147,6,40,30,1,,
12645,147,7,42,31,1,,
12646,147,7,40,32,1,,
12647,147,8,248,33,1,,
12648,147,8,40,34,1,,
12649,147,9,43,35,1,,
12650,147,9,40,36,1,,
12651,147,10,44,37,1,,
12652,147,10,40,38,1,,
12653,147,11,44,39,1,,
12654,147,11,40,40,1,,
12655,147,1,1,41,,,
12681,152,1,274,1,,,
12682,152,37,91,2,,,
12683,152,4,34,3,,,
12684,152,4,72,4,,,
12685,152,4,73,5,,,
12686,152,4,74,6,,,
12687,152,4,75,7,,,
12688,152,4,76,8,,,
12689,152,4,77,9,,,
12690,152,4,20,10,,,
12691,152,4,79,11,,,
12692,152,4,78,12,,,
12693,152,4,17,13,,,
12694,152,4,18,14,,,
12695,152,35,107,15,,2,
12696,152,35,108,16,,2,
12697,152,35,289,17,,2,
12698,152,35,136,18,,2,
12699,152,35,302,19,,2,
12700,152,1,1,20,,,
12759,153,1,1,1,,,
12760,153,1,2,2,,,
12761,153,1,3,3,,,
12762,153,1,4,4,,,
12763,153,1,5,5,,,
12764,153,1,6,6,,,
12765,153,1,7,7,,,
12766,153,1,8,8,,,
12767,153,1,4,9,,,
12768,153,1,274,10,,,
12769,153,4,34,11,,,
12770,153,4,72,12,,,
12771,153,4,73,13,,,
12772,153,4,74,14,,,
12773,153,4,75,15,,,
12774,153,4,76,16,,,
12775,153,4,77,17,,,
12776,153,4,20,18,,,
12777,153,4,79,19,,,
12778,153,4,78,20,,,
12779,153,4,17,21,,,
12780,153,4,18,22,,,
12781,153,57,270,23,,2,
12782,153,57,271,24,,2,
12783,153,57,272,25,,2,
12784,153,57,273,26,,2,
12785,153,4,277,27,,,
12786,153,4,278,28,,,
